title,content,url,cnt,source,keyword,image,createdAt,priority
레진 챌린지 CSS 개발 후기,"오늘 레진 챌린지 서비스를 오픈하면서 CSS 개발했던 일을 회고합니다. 전처리 도구, BEM, 새로운 CSS 규칙을 활용했던 이야기입니다.우리 팀에서는 CSS 전처리 도구로 Sass를 사용하고 있습니다. 전처리 도구의 장점은 콤포넌트 단위로 파일을 쪼개어 관리할 수 있다는 점과 반복하는 코드를 변수처럼 재사용할 수 있다는 점입니다.콤포넌트 기반으로 관리하는...",https://tech.lezhin.com/2018/08/20/challenge-css,0,lezhin,"webpack,scss,jquery,javascript,frontend,html,css,sass,bootstrap,react",,2018-08-20,0
구글 I/O 2018 안드로이드 파트 리뷰,"구글 I/O 2018에 발표된 안드로이드 기술 관련 내용을 리뷰합니다. 이번 구글 I/O에서는 62개의 크고 작은 세션들을 개발자에게 공개했습니다. 다양한 세션 중 이번 글에서는 안드로이드 개발과 관련있는 새로운 기능, 안드로이드 제트팩(Android JetPack), 안드로이드 P(Android P)에 관해 정리하고자 합니다.안드로이드 앱 사이즈를 효과적...",https://tech.lezhin.com/2018/06/11/google-io-2018-android-review,0,lezhin,"php,web,docker,frontend,html,android,backend,json,css,kotlin,java,react",https://1.bp.blogspot.com/-lwdb_wiD6vM/WvHRpCJz0TI/AAAAAAAAFWY/kO_wnXli8PUFmEe7ELWpwOu5m-A7TGLPACLcBGAs/s1600/App-Bundle-Animation_GIF.gif,2018-06-11,0
구글 I/O 2018 안드로이드 머터리얼 디자인 리뷰,"구글 I/O 2018에서 발표한 안드로이드 머터리얼 디자인(Android Material Design) 관련 내용을 리뷰합니다. 이번 구글 I/O에서는 총 48개의 디자인 관련 앱 리뷰(App Review), 오피스 아워(Office Hour) 세션 등을 준비했고, 그 중 14개의 세션을 유투브에 업데이트했습니다. 다양한 디자인 세션 중 이번 글에서는 안드...",https://tech.lezhin.com/2018/05/25/google-io-2018-android-material-design-review,0,lezhin,"python,javascript,frontend,android,angular,react",https://tech.lezhin.com/files/2018-05-25-google-io-2018-android-material-design-review/1.png,2018-05-25,0
레진 WAI-ARIA 가이드라인 소개.,레진 웹 접근성 가이드라인에 이어 레진 WAI-ARIA 가이드라인을 소개합니다. WAI는 ‘Web Accessibility Initiative’의 약자로 W3C에서 웹 접근성을 담당하는 조직이고요. ARIA는 ‘Accessible Rich Internet Applications’의 약자로 리치 인터넷을 위한 W3C 접근성 명세입니다. 쉽게 말해 Ajax 같...,https://tech.lezhin.com/2018/04/20/wai-aria,0,lezhin,"php,jquery,python,javascript,frontend,html,android,backend,json,css,bootstrap,xml,react",,2018-04-20,0
RxJS로 캐러셀(Carousel) UI 만들기,"UI를 결정짓는 데이터 즉, 상태(State)를 어디에 보관하고 어떻게 필요로 하는 곳으로 전파할 것인가, UI 개발에 있어 상태는 언제나 큰 문제 중 하나입니다. 우리는 상태를 단순히 변수에 보관하거나 비슷한 성질을 가진 데이터를 모아서 객체로 분리하기도 합니다.변수는 언제든지 다른 곳에서도 쉽게 접근하고 변경할 수 있는 위험성을 가지고 있습니다. 변경된...",https://tech.lezhin.com/2017/10/08/create-carousel-with-rxjs,0,lezhin,"javascript,typescript,frontend,angular,react",https://tech.lezhin.com/files/2017-09-26-create-carousel-with-rxjs/carousel.01.gif,2017-10-08,0
AWS Auto Scalinging Group 을 이용한 배포,"레진코믹스의 서버 시스템은 잘 알려진대로 Google AppEngine에서 서비스되고 있지만, 이런저런 이유로 인해 최근에는 일부 컴포넌트가 Amazon Web Service에서 서비스되고 있습니다. AWS 에 새로운 시스템을 셋업하면서, 기존에 사용하던 PaaS인 GAE에서는 전혀 고민할 필요 없었던, 배포시스템에 대한 고민이 필요했습니다. 좋은 배포전략...",https://tech.lezhin.com/2017/08/10/deployment-with-auto-scaling-group,0,lezhin,,http://docs.aws.amazon.com/autoscaling/latest/userguide/images/auto_scaling_lifecycle.png,2017-08-10,0
Kotlin의 빛과 그림자,핀터레스트의 안드로이드 개발팀이 코틀린을 도입하면서 겪은 어려움과 해결책을 소개한 The Case Against Kotlin을 foot번역하고 자의적으로 해석하고 요약했습니다. 저자 라이언 쿡(Ryan Cooke)은 현재 코틀린이 가트너의 하이프 사이클에서 “뻥튀기된 기대감의 산(Peak of Inflated Expectations)” 쯤에 있다고 말합니다...,https://tech.lezhin.com/2017/08/03/the-case-against-kotlin,0,lezhin,"java,android",https://tech.lezhin.com/files/2017-08-03-the-case-against-kotlin/kotlin_in_hype_cycle.png,2017-08-03,0
모두를 위한 설계. 레진 웹 접근성 가이드라인.,"레진엔터테인먼트는 글로벌(한국, 일본, 미국) 서비스를 운영하고 있기에 다양한 사람들의 재능과 욕구에 관심이 있습니다. 우리는 웹 접근성에 관심을 기울여 조금 특별한 욕구를 가진 사람들의 문제를 해결하려고 합니다. 소수의 특별한 욕구는 모두의 욕구와 연결되어 있다고 생각하기 때문입니다.WHO는 세계 인구의 15%에 해당하는 사람들이 장애가 있는 것으로 파악...",https://tech.lezhin.com/2017/08/02/accessibility,0,lezhin,"webpack,javascript,docker,frontend,angular,react",,2017-08-02,0
SVG를 이용해 간단한 웹 게임 만들어보기,근래 소규모로 게임 프로그래밍 스터디를 시작했습니다. 서비스 UI를 개발하는 프론트엔드개발자에게 있어 게임 프로그래밍은 언제나 커튼 뒤에 비친 풍경처럼 흐릿하고 형체를 쉽게 알 수 없는 신비한 존재입니다. 이번에 미약하게나마 커튼을 걷어 창문 너머 펼쳐진 풍경을 감상해 보자는 게 이번 스터디의 개인적인 목표입니다.게임을 만드는 데 어떤 기술을 사용할지 고민...,https://tech.lezhin.com/2017/07/26/create-a-game-using-svg,0,lezhin,"jquery,javascript,frontend,html,css,bootstrap,react",https://tech.lezhin.com/files/2017-07-26-create-a-game-using-svg/jumping-car.01.jpg,2017-07-26,0
IntersectionObserver를 이용한 이미지 동적 로딩 기능 개선,구글 크롬 51 버전부터 DOM 엘리먼트의 노출 여부를 비동기로 처리하는 IntersectionObserver API를 사용할 수 있게 되었습니다. 이 기능을 이용하면 이미지의 동적 로딩이나 광고 배너의 노출 측정 등을 효율적으로 사용할 수 있다고 구글 개발자 블로그에서 소개하고 있습니다. 이 글에서는 기존의 이미지 동적 로딩에 대한 문제점을 짚어보고 여러...,https://tech.lezhin.com/2017/07/13/intersectionobserver-overview,0,lezhin,"php,jquery,javascript,frontend,html,backend,json,css,bootstrap,xml,react",,2017-07-13,0
Tabnabbing 피싱 공격의 동작 원리와 대응책,"브라우저에서 사용자의 개인 정보를 가로채는 여러가지 피싱 공격 기법이 있습니다. 이 글에서는 그 중에서도 상대적으로 단순해서 과소평가된 Tabnabbing 공격의 동작 원리와 대응책을 함께 알아보겠습니다. Tabnabbing은 HTML 문서 내에서 링크(target이 _blank인 Anchor 태그)를 클릭 했을 때, 새롭게 열린 탭(또는 페이지)에서 기존...",https://tech.lezhin.com/2017/06/12/tabnabbing,0,lezhin,"jquery,javascript,vue,frontend,android,css,sass,bootstrap,angular,react",https://tech.lezhin.com/files/2017-06-tabnabbing/tabnabbing.png,2017-06-12,0
구글 I/O 2017 참관 후기,"구글 I/O는 구글이 2008년부터 매년 주최하는 개발자 컨퍼런스입니다. 애플이 주최하는 WWDC와 더불어 최고/최대 규모의 개발자 행사죠.레진은 매년 구글의 신규 제품과 기술들을 현장에서 확인하고 정보를 습득하고, “Office Hours” 세션을 통해 구글 클라우드 플랫폼 담당자와 직접 만나서 현재 레진코믹스 서비스에서 발생하는 이슈를 확인하고 해결하기...",https://tech.lezhin.com/2017/06/09/googleio,0,lezhin,"docker,django,python",https://tech.lezhin.com/files/2017-06-googleio/keynote.png,2017-06-09,0
자바 기반의 백엔드와의 세션 공유를 위한 레일즈 세션 처리 분석,"레일즈 기반의 프론트엔드(브라우저에서 서버 사이드 렌더링 계층까지)와 자바 기반의 백엔드(내부 API와 그 이후 계층)이 세션을 공유하기 위해 먼저 레일즈의 세션 처리 과정을 분석하고, 레일즈 세션 쿠키를 다루기 위한 자바 소스 코드를 공유합니다. 여기저기 자랑하고 다녔으니 아시는 분은 아시다시피 레진은 구글앱엔진을 사용하고 있습니다. 지금이야 Java, ...",https://tech.lezhin.com/2017/06/01/rails-session,0,lezhin,"php,frontend,ruby,android,react",,2017-06-01,0
Kotlin 맛보기,"지난 5월 구글I/O를 통해서 안드로이드 공식 지원 언어가 된 코틀린의 인기가 수직 상승 중인데요, 진작에 코틀린은 검토하고 사용해 온 레진시 개발동 주민들이 보기엔 왠 뒷북인가 싶지만, 코틀린의 인기에 묻어가는 의미로(?) 몇달 전 사내에서 스터디했던 내용을 재활용 요약 정리했습니다. 코틀린은 IntelliJ IDEA로 유명한 JetBrains이 개발한 ...",https://tech.lezhin.com/2017/06/01/kotlin-intro,0,lezhin,"angularjs,python,javascript,frontend,android,rust,css,bootstrap,java,react",,2017-06-01,0
기술 블로그 오픈!,"프리미엄 웹툰 서비스 - “레진코믹스” 를 만들고 있는 레진엔터테인먼트의 기술 블로그를 시작합니다. 레진 기술 블로그는 Github Pages와 Jekyll을 통해 운영되고 있으며, Github에 오픈소스로 공개되어 있습니다.이 곳을 통해서 레진시 개발동 주민들의 실전 경험이 담긴 개발 팁과 정보, 직접 개발한 크고 작은 코드들도 공유하겠습니다.블로그 내용...",https://tech.lezhin.com/2017/06/01/tech-open,0,lezhin,"bootstrap,frontend",,2017-06-01,0
