Microsoft's multi-factor authentication service flakes out – again," Just one day after Microsoft came clean with an explanation of a Nov. 19 outage that blocked users of Office 365 from logging into their accounts using Multi-Factor Authentication (MFA), today the se...",https://www.computerworld.com/article/3323382/office-software/microsofts-multi-factor-authentication-service-flakes-out-again.html#tk.rss_all,0,computerworld,,,2018-11-27,0
Microsoft cheat sheets: Dive into Windows and Office apps, Need to get up to speed on the latest features in Excel 2016? Wrestling with an old version of Word? Looking to get more out of Windows 10? Computerworld’s cheat sheets are easy-to-use guides to help...,https://www.computerworld.com/article/3199247/microsoft-office/microsoft-cheat-sheets-dive-into-windows-and-office-apps.html#tk.rss_all,0,computerworld,,,2018-11-27,0
The definitive Windows 7 retirement timeline countdown," In about 400 days, Windows 7 will get the support guillotine.Microsoft has set the end of general support - the kind that's free to all, and at this point exclusively patches to quash vulnerabilities...",https://www.computerworld.com/article/3322618/microsoft-windows/the-definitive-windows-7-retirement-timeline-countdown.html#tk.rss_all,0,computerworld,"frontend,react,jquery,sass,javascript",,2018-11-27,0
How to use your iPad Pro as a laptop replacement (Part 6)," We’ve been looking at how to use an iPad Pro to replace a laptop for many tasks. In this chapter, we share several tips to help you be more productive with your Apple tablet.Episode guide: Part One: ...",https://www.computerworld.com/article/3323062/mobile-wireless/how-to-use-your-ipad-pro-as-a-laptop-replacement-part-6.html#tk.rss_all,0,computerworld,,,2018-11-27,0
"New beta-test version of Win10 1809 arrives, and — mirabile dictu! — it’s in the Release Preview ring"," Two weeks ago we witnessed an amazing change in Microsoft’s approach to patching Windows 10. For the first time, Microsoft pushed a test version of a cumulative update to Win10 1809 out through the W...",https://www.computerworld.com/article/3324596/microsoft-windows/new-beta-test-version-of-win10-1809-arrives-and-mirabile-dictu-its-in-the-release-preview-ring.html#tk.rss_all,0,computerworld,,,2018-11-27,0
Now THAT'S the old-school way to pull wire!, It's been a few years since Sharky passed along some tales of IT people recruiting animals to pull network wire through some inconvenient places -- but now one pilot fish may have found the grandaddy...,https://www.computerworld.com/article/3324241/networking/now-thats-the-old-school-way-to-pull-wire.html#tk.rss_all,0,computerworld,,,2018-11-27,0
Outlook 2016 cheat sheet," The pundits will have you believe email is being supplanted by texting, social media, chat apps like Slack, and direct communications software such as Skype and Google Hangouts Meet.Don’t believe the...",https://www.computerworld.com/article/3321417/microsoft-office/outlook-2016-cheat-sheet.html#tk.rss_all,0,computerworld,,,2018-11-27,0
Windows Hello for Business: Next-gen authentication for Windows shops,"Authentication: the act of proving one’s identity to the satisfaction of some central authority. To most, this process means typing in a username and a password. It’s been this way for years and years...",https://www.computerworld.com/article/3220967/microsoft-windows/windows-hello-for-business-next-gen-authentication-for-windows-shops.html#tk.rss_all,0,computerworld,,,2018-11-26,0
Ohio becomes the first state to accept bitcoin for tax payments," Ohio this week began accepting bitcoin as a form of tax payment from businesses, making it the first U.S. state to do so.The Ohio Treasurer's office said it is working to help make the state a nation...",https://www.computerworld.com/article/3322851/blockchain/ohio-becomes-the-first-state-to-accept-bitcoin-for-tax-payments.html#tk.rss_all,0,computerworld,,,2018-11-26,0
"IDG Contributor Network: Amazon Echo sets the bar for the perfect PC, smartphone or tablet upgrade experience", Back in the 1990s I became concerned that it took way too long for someone to provision a new laptop. What brought this to my attention was when Intel was recommending users get laptops every two yea...,https://www.computerworld.com/article/3323362/amazon-com/amazon-echo-sets-the-bar-for-the-perfect-pc-smartphone-or-tablet-upgrade-experience.html#tk.rss_all,0,computerworld,"php,docker",,2018-11-26,0
Apple feels the tech transition heat," Supplier rumor combined with Apple’s decision to stop revealing iPhone sales data may have hurt the company’s notional market cap a little, but company watchers should think a little more deeply.Is i...",https://www.computerworld.com/article/3322510/mobile-wireless/apple-feels-the-tech-transition-heat.html#tk.rss_all,0,computerworld,,,2018-11-26,0
What is Windows Hello? Microsoft’s biometrics security system explained," Windows Hello is a biometrics-based technology that enables Windows 10 users to authenticate secure access to their devices, apps, online services and networks with just a fingerprint, iris scan or f...",https://www.computerworld.com/article/3244347/microsoft-windows/what-is-windows-hello-microsofts-biometrics-security-system-explained.html#tk.rss_all,0,computerworld,,,2018-11-26,0
"IDG Contributor Network: AT&T, Verizon, mobile 5G and what’s coming next in wireless"," In the race to mobile 5G, it seems AT&amp;T and Verizon are in it to be first. While I understand there is an honor that goes to the winner, in the scheme of things does it really make much of a diff...",https://www.computerworld.com/article/3322844/mobile-wireless/atandt-verizon-mobile-5g-and-what-s-coming-next-in-wireless.html#tk.rss_all,0,computerworld,,,2018-11-26,0
"See, this is how reputations are made"," One division's database group at this Fortune 1000 company consists of a pilot fish and his manager -- except the manager isn't around.""She was out for months, recovering from liver surgery, leaving ...",https://www.computerworld.com/article/3323579/it-careers/see-this-is-how-reputations-are-made.html#tk.rss_all,0,computerworld,,,2018-11-26,0
10 highly useful add-ins for Microsoft Office,"The tools available in Microsoft Office are highly versatile, but sometimes you want to do something that Word, Excel, PowerPoint and Outlook can’t accommodate. Chances are good, though, that you can ...",https://www.computerworld.com/article/3320858/microsoft-office/10-highly-useful-add-ins-for-microsoft-office.html#tk.rss_all,0,computerworld,,,2018-11-26,0
What Apple is doing in 2019," Silly season has hit us once again, and with every website offering some kind of take on Black Friday shopping posts I thought I’d sketch a few notes on some of the all-new Apple products and service...",https://www.computerworld.com/article/3323361/mobile-wireless/what-apple-is-doing-in-2019.html#tk.rss_all,0,computerworld,,,2018-11-23,0
Will Cortana go the way of Windows Phone?," “Say goodbye, Cortana.”That might be what Microsoft is contemplating saying to its struggling digital assistant. Cortana, or at least Cortana as we know it today, could end up on the Microsoft scrap ...",https://www.computerworld.com/article/3322963/mobile-wireless/will-cortana-go-the-way-of-windows-phone.html#tk.rss_all,0,computerworld,"php,docker",,2018-11-23,0
ThrowBlack Friday: Let me repeat that," At this retailer, the director in charge of stores decides that every time a store employee gets an email, a copy should automatically be sent to the employee's supervisor, reports an IT pilot fish w...",https://www.computerworld.com/article/3322950/it-industry/throwblack-friday-let-me-repeat-that.html#tk.rss_all,0,computerworld,,,2018-11-23,0
Gmail encryption: Everything you need to know," Encryption may sound like a subject best left to hackers and tinfoil hat wearers, but don't be fooled: It's a critical part of contemporary life and something that's important for everyone, especiall...",https://www.computerworld.com/article/3322497/security/gmail-encryption.html#tk.rss_all,0,computerworld,,,2018-11-22,0
Throwback Thursday: Just our way of saying thanks!, This software-based simulator is huge. It's more than a decade old. It's the division's cash cow. And the project to deliver a new version written in C++ is on track to miss its February delivery dat...,https://www.computerworld.com/article/3323576/it-careers/throwback-thursday-just-our-way-of-saying-thanks.html#tk.rss_all,0,computerworld,,,2018-11-22,0
W. Va. says mobile voting via blockchain went smoothly, West Virginia officials say a mobile voting app based on blockchain technology successfully allowed absentee military members and their families living overseas to participate in this year's mid-term...,https://www.computerworld.com/article/3322926/blockchain/w-va-says-mobile-voting-via-blockchain-went-smoothly.html#tk.rss_all,0,computerworld,"ethereum,bitcoin,blockchain",,2018-11-21,0
"Zoho customer service tools get AI, analytics updates"," Zoho has added AI and analytics features to its CRM suite, part of a drive by the company to unify its sales, marketing and customer support apps.Zoho CRM Plus was launched in 2014, bundling nine app...",https://www.computerworld.com/article/3323377/collaboration/zoho-customer-service-tools-get-ai-analytics-updates.html#tk.rss_all,0,computerworld,android,,2018-11-21,0
Useful R functions you might not know," Almost every R user knows about popular packages like dplyr and ggplot2. But with 10,000+ packages on CRAN and yet more on GitHub, it's not always easy to unearth libraries with great R functions. On...",https://www.computerworld.com/article/3184778/data-analytics/6-useful-r-functions-you-might-not-know.html#tk.rss_all,0,computerworld,,,2018-11-21,0
Apple's small Silk Labs purchase pushes AI to the edge, Apple’s AI push into on-device machine learning continues with news of its acquisition of Silk Labs breaking just as the U.S. heads into its annual holiday season.The edge case for artificial intelli...,https://www.computerworld.com/article/3323357/cloud-computing/apples-small-silk-labs-purchase-pushes-ai-to-the-edge.html#tk.rss_all,0,computerworld,,,2018-11-21,0
"As usual, there's a simple explanation"," IT manager pilot fish puts in an order with an internet provider to boost bandwidth and get a bigger block of IP addresses, and it looks like everything is running on rails.""Forms were completed and ...",https://www.computerworld.com/article/3322941/networking/as-usual-theres-a-simple-explanation.html#tk.rss_all,0,computerworld,,,2018-11-21,0
How to fix iCloud when it stops working," iCloud sits at the heart of the Apple user experience, connecting and syncing all our devices together and enabling a host of utterly essential tasks. That’s why when iCloud goes wrong, it’s good to ...",https://www.computerworld.com/article/3322896/mobile-wireless/how-to-fix-icloud-when-it-stops-working.html#tk.rss_all,0,computerworld,,,2018-11-20,0
10 Android settings that'll strengthen your security," You might not know it from all the panic-inducing headlines out there, but Android is actually packed with powerful and practical security features. Some are activated by default and protecting you w...",https://www.computerworld.com/article/3268079/android/android-security-settings.html#tk.rss_all,0,computerworld,,,2018-11-20,0
Sign Up for HelloSign and Get Your First Three eSignatures Free," When’s the last time you signed a contract on an actual piece of paper? Likely not lately, and likely not any time soon. Printing and manually signing pieces of paper is not only a logistical nightma...",https://www.computerworld.com/article/3322738/enterprise-applications/sign-up-for-hellosign-and-get-your-first-three-esignatures-free.html#tk.rss_all,0,computerworld,,,2018-11-20,0
IDG Contributor Network: T-Mobile Sprint merger will be approved with conditions," I’ve been following the T-Mobile Sprint merger story for many years. If I were a betting man, I would say this merger will be approved, with conditions. Let’s take a closer look at why and what we ca...",https://www.computerworld.com/article/3322819/mobile-wireless/t-mobile-sprint-merger-will-be-approved-with-conditions.html#tk.rss_all,0,computerworld,,,2018-11-20,0
Heads up: A ‘critical’ Win7/Server 2008 patch coming in February/March that’s really critical," There’s an important move afoot, if you’re using Windows 7 or Server 2008, or an older version of Windows Server Update Services. Starting in April, Windows updates will all be sent out with SHA-2 en...",https://www.computerworld.com/article/3322518/microsoft-windows/heads-up-a-critical-win7-server-2008-patch-coming-in-february-march-that-s-really-critical.html#tk.rss_all,0,computerworld,,,2018-11-20,0
Laurene Powell Jobs’s Emerson Collective bought Pop-Up Magazine Productions," The social impact firm makes another media acquisition, this time of the publisher of California Sunday Magazine and Pop-Up Magazine events. The Emerson Collective, the social impact firm run by Laur...",https://www.recode.net/2018/11/27/18114661/laurene-powell-jobs-emerson-collective-pop-up-magazine-productions,0,recode,,,2018-11-27,0
Google workers just publicly called on the tech giant to end plans for a censored search product in China," Employees are asking management to end the project, citing human rights concerns. Google workers signed a public letter asking their company’s management to cancel controversial plans to build a cens...",https://www.recode.net/2018/11/27/18114098/google-workers-letter-china-dragonfly-censored-search,0,recode,python,,2018-11-27,0
Recode Daily: Google spends $1 billion on a 52-acre office park in space-constrained Silicon Valley," Plus: General Motors will shut five factories and cut more than 14,000 jobs; Airbnb finds its new CFO at Amazon; Chinese scientists are creating the first genetically altered babies; and, oh yeah — N...",https://www.recode.net/2018/11/27/18113642/google-property-gm-factory-airbnb-amazon-stephenson-cfo-china-babies-crispr-monopoly-nasa-mars,0,recode,,,2018-11-27,0
An Amazon veteran is leaving after 20 years to eventually help take Robinhood public, Jason Warnick has presumably had a lot of job offers since joining Amazon in the 20th century. The stock-trading startup Robinhood has hired a chief financial officer — who spent 20 years at Amazon —...,https://www.recode.net/2018/11/26/18113720/robinhood-ipo-jason-warnick-amazon-chief-financial-officer,0,recode,,,2018-11-27,0
How an $8 billion Silicon Valley startup has shared talent with one of its most prominent investors," There are deep ties between Coinbase and Andreessen Horowitz. Coinbase and Andreessen Horowitz have a special connection. The news last week that Mike Lempres, one of Coinbase’s higher-ranking execut...",https://www.recode.net/2018/11/26/18112424/coinbase-andreessen-horowitz-graphic-ties,0,recode,"tensorflow,python,machinelearning",,2018-11-26,0
Amazon wants brands to advertise Alexa voice shopping — essentially for free, Consumer goods represent Alexa’s best chance at getting voice sales off the ground. Amazon wants more people to purchase more stuff through Alexa — and it wants the companies that make the stuff to f...,https://www.recode.net/2018/11/26/18106834/amazon-alexa-advertising-cpg-voice,0,recode,,,2018-11-26,0
Recode Daily: Black Friday shoppers chose their screens over brick-and-mortar stores, Plus: Facebook and the White House try to sneak bad news past us over the holiday; Jeff Bezos awards $97.5 million to 24 U.S. nonprofits in the first stage of his Day One Fund; Disney is facing princ...,https://www.recode.net/2018/11/26/18111525/black-friday-shopping-retail-ecommerce-facebook-definers-schrage-sandberg-zuckerberg-parliament,0,recode,"react,php,frontend,android",,2018-11-26,0
Memo from a ‘Facebook nation’ to Mark Zuckerberg: You moved fast and broke our country.," Maria Ressa, the journalist who co-founded Rappler in the Philippines, warns that her country is a “cautionary tale” for the United States. In August of 2016, investigative journalist Maria Ressa con...",https://www.recode.net/2018/11/26/18111859/maria-ressa-rappler-facebook-mark-zuckerberg-philippines-kara-swisher-recode-decode-podcast,0,recode,,,2018-11-26,0
Full Q&A: ‘Dear America’ author Jose Antonio Vargas on Recode Decode," When he was 16, Vargas found out that he is an undocumented immigrant — and after years of secrecy, he decided to “come out.” On the latest episode of Recode Decode with Kara Swisher, Kara talks with...",https://www.recode.net/2018/11/24/18109552/jose-antonio-vargas-dear-america-undocumented-immigrant-book-kara-swisher-recode-decode-podcast,0,recode,"json,backend",,2018-11-24,0
It’s time for Facebook’s board to step up," The spotlight has been on Mark Zuckerberg and Sheryl Sandberg. But Facebook’s board is MIA. For more than a week, Facebook’s critics have wondered if the company will face any consequences for the di...",https://www.recode.net/2018/11/23/18107237/facebook-board-zuckerberg-sandberg-andreessen-thiel-pivot-kara-swisher-scott-galloway-podcast,0,recode,,,2018-11-23,0
